T,Fold,RMSE,MAE,MAPE,R2
5,0,0.08326556255640602,0.06830216774230992,1.4865039633632238,0.6193543579464422
5,1,0.07472001952483813,0.058277426041523056,0.2810388916668145,0.687817708104246
5,2,0.05069658081107196,0.03985794313945969,0.19701261523566457,0.8129985967359422
10,0,0.0771878092321433,0.06446953803876894,1.4599515937579588,0.6728947982318867
10,1,0.07350119862783433,0.05527972568749369,0.23138684174134336,0.6979191781688391
10,2,0.04529925254590031,0.03596239746500331,0.18801250936736508,0.8506760137121167
15,0,0.061428827905215505,0.05028856063867204,1.1617092643573868,0.7928290197364523
15,1,0.05775434819471645,0.047284172847951736,0.21517082394315837,0.8134893288148402
15,2,0.05204236037153034,0.03736837658267534,0.20028554637159734,0.8028787371605713
20,0,0.058403657232235326,0.046352620810189475,1.1278274482298645,0.8126981768344101
20,1,0.044892767691160115,0.033110124010565435,0.17797550556658426,0.8872788803747056
20,2,0.04964059249807172,0.03590300602688581,0.1841022383100493,0.8207017905115359
