T,Fold,RMSE,MAE,MAPE,R2
5,0,0.1072295348400535,0.08653173523120752,1.1286809934649085,0.5118099441936058
5,1,0.08163891690875213,0.056457899087309214,0.22887550461472692,0.5996874156766929
5,2,0.061042980987788466,0.05001004454274294,0.24077329644512396,0.7369310549164398
10,0,0.10740654811763835,0.08459323905052248,1.1727535726746008,0.5102045639023853
10,1,0.07358457215753875,0.05180991343661497,0.18539893609500935,0.6746461773920445
10,2,0.05064545357066312,0.040494051489551465,0.18967613643876394,0.8189194543677897
15,0,0.08193046443001964,0.06275851001599649,0.7555358296600039,0.7150037163450883
15,1,0.06692880307650816,0.04685821264028119,0.17358639023903066,0.7307738392933838
15,2,0.07187888836325865,0.05155288614493831,0.24747081857686182,0.6353170147108369
20,0,0.07663015809742019,0.05946569771995272,0.8278810027724901,0.7506576106772771
20,1,0.049536780516488986,0.03314797530304959,0.12248290003521962,0.8524206351041413
20,2,0.06297702844015841,0.04549880850625877,0.20639197406153748,0.7202037973843576
