T,E,logloss_perdido_medio,logloss_perdido_std,iter_ahorradas_media,iter_ahorradas_std,n_datasets
5,-0.2,2.8906,3.279,70.1178,28.8074,20
5,-0.1,2.3017,2.3037,67.6244,29.516,20
5,0.0,1.6944,2.1298,59.8518,31.4695,20
5,0.1,0.4705,1.0376,39.1095,32.515,20
10,-0.2,3.1964,4.1325,69.5597,28.5661,20
10,-0.1,2.6256,4.2974,66.4699,28.6398,20
10,0.0,1.6781,3.3923,57.9764,28.904,20
10,0.1,0.5877,1.3405,36.6863,30.7074,20
15,-0.2,3.0564,4.306,67.2828,28.5119,20
15,-0.1,2.6672,4.3983,64.4677,28.4708,20
15,0.0,1.7786,3.0831,54.6276,29.096,20
15,0.1,0.5235,1.12,35.6266,30.9192,20
20,-0.2,2.9443,4.3632,67.9151,25.2949,20
20,-0.1,2.3692,3.2869,64.4307,25.5508,20
20,0.0,1.5706,2.512,52.0739,27.3145,20
20,0.1,0.4506,0.9993,32.4869,29.9288,20
