T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
5,-0.2,0,146820,0.0394,0.037995,3.6979,107319,1238041,91.3315,-0.081184
5,-0.2,0,168350,0.227085,0.225671,0.6266,210060,630490,66.6831,-0.070451
5,-0.2,0,190392,0.359271,0.3172,13.2632,111520,713336,84.3664,0.093678
5,-0.2,0,359956,0.287348,0.285494,0.6494,113588,441191,74.2542,-0.024419
5,-0.2,0,359965,0.016131,0.016131,0.0,795605,849323,6.3248,-0.124352
5,-0.2,0,359975,0.021307,0.020512,3.8758,49922,288404,82.6903,-0.096902
5,-0.2,0,359980,0.066671,0.066671,-0.0,1498315,1577750,5.0347,-0.167614
5,-0.2,1,168757,0.486913,0.479304,1.5875,65057,301394,78.4146,0.127885
5,-0.2,1,168911,0.401516,0.392326,2.3424,65303,467507,86.0317,0.070659
5,-0.2,1,359958,0.177909,0.170866,4.1219,67680,385852,82.4596,0.026009
5,-0.2,1,359971,0.062183,0.062183,0.0,663874,786481,15.5893,-0.121063
5,-0.2,1,359979,0.16251,0.149956,8.3718,111711,1203291,90.7162,0.095524
5,-0.2,1,359982,0.192176,0.1906,0.8269,121298,901464,86.5443,0.046722
5,-0.2,1,359983,0.272035,0.271175,0.3171,157490,1355440,88.3809,0.013925
5,-0.2,2,190137,0.143959,0.140074,2.7735,59018,494909,88.075,-0.018843
5,-0.2,2,190410,0.442706,0.425278,4.098,111209,545157,79.6006,0.071454
5,-0.2,2,190411,0.294607,0.290798,1.3098,89469,1027795,91.2951,0.050669
5,-0.2,2,359962,0.33539,0.327112,2.5306,49685,204654,75.7224,0.070636
5,-0.2,2,359968,0.149214,0.140843,5.9435,91490,817466,88.8081,-0.022757
5,-0.2,2,359972,0.12794,0.126079,1.4761,249902,416740,40.0341,-0.010516
5,-0.1,0,146820,0.0394,0.037995,3.6979,107319,1238041,91.3315,-0.081184
5,-0.1,0,168350,0.225816,0.225671,0.0643,259505,630490,58.8407,-0.070451
5,-0.1,0,190392,0.331528,0.3172,4.517,113002,713336,84.1587,0.093678
5,-0.1,0,359956,0.287348,0.285494,0.6494,160692,441191,63.5777,-0.024419
5,-0.1,0,359965,0.016131,0.016131,0.0,795605,849323,6.3248,-0.124352
5,-0.1,0,359975,0.021307,0.020512,3.8758,49922,288404,82.6903,-0.096902
5,-0.1,0,359980,0.066671,0.066671,-0.0,1498315,1577750,5.0347,-0.167614
5,-0.1,1,168757,0.486913,0.479304,1.5875,65057,301394,78.4146,0.127885
5,-0.1,1,168911,0.398396,0.392326,1.5472,70958,467507,84.822,0.070659
5,-0.1,1,359958,0.177909,0.170866,4.1219,67680,385852,82.4596,0.026009
5,-0.1,1,359971,0.062183,0.062183,0.0,694702,786481,11.6696,-0.121063
