T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
5,-0.2,0,146820,0.038271,0.038271,0.0,219513,1740856,87.3905,-0.094737
5,-0.2,0,168350,0.235516,0.23352,0.8547,213757,1704624,87.4602,-0.044119
5,-0.2,0,190392,0.374188,0.331513,12.8728,125401,2030996,93.8256,0.077823
5,-0.2,0,359956,0.295673,0.292846,0.9654,131063,1344127,90.2492,-0.018038
5,-0.2,0,359965,0.015906,0.015906,0.0,343984,2178742,84.2118,-0.101787
5,-0.2,0,359975,0.020755,0.020519,1.1502,154110,866096,82.2064,-0.029774
5,-0.2,0,359980,0.067945,0.067476,0.6951,773514,3195868,75.7964,-0.152901
5,-0.2,1,168757,0.486913,0.483917,0.6191,80062,1089383,92.6507,0.181829
5,-0.2,1,168911,0.401516,0.395381,1.5517,92251,1078823,91.4489,0.035822
5,-0.2,1,359958,0.177909,0.174458,1.9781,82738,1203058,93.1227,0.00925
5,-0.2,1,359971,0.088379,0.074054,19.344,592474,2192970,72.983,-0.037792
5,-0.2,1,359979,0.16251,0.152303,6.7018,126983,2219443,94.2786,-0.024572
5,-0.2,1,359982,0.192176,0.191489,0.3588,136206,2257560,93.9667,0.014484
5,-0.2,1,359983,0.272901,0.272251,0.2388,154937,2765344,94.3972,-0.031561
5,-0.2,2,190137,0.141292,0.141292,0.0,173008,967234,82.1131,-0.062119
5,-0.2,2,190410,0.442706,0.43374,2.0671,126246,2133582,94.0829,0.064
5,-0.2,2,190411,0.294607,0.293145,0.4987,104444,1588070,93.4232,-0.011141
5,-0.2,2,359962,0.33539,0.332263,0.9411,64808,823347,92.1287,0.05451
5,-0.2,2,359968,0.149214,0.141681,5.3169,109872,1567975,92.9927,-0.089082
5,-0.2,2,359972,0.135315,0.130461,3.7207,422067,2115802,80.0517,0.025466
5,-0.1,0,146820,0.038271,0.038271,0.0,262484,1740856,84.9221,-0.094737
5,-0.1,0,168350,0.235516,0.23352,0.8547,330674,1704624,80.6014,-0.044119
5,-0.1,0,190392,0.374188,0.331513,12.8728,125401,2030996,93.8256,0.077823
5,-0.1,0,359956,0.295673,0.292846,0.9654,156864,1344127,88.3297,-0.018038
5,-0.1,0,359965,0.015906,0.015906,0.0,352163,2178742,83.8364,-0.101787
